序号,评论标识号,上级评论,用户标识符,时间,用户名,性别,评论内容,评论点赞数,评论回复数,粉丝牌,评论IP,主页IP,用户简介,微博认证,是否认证,会员等级,年龄,星座,学历,公司,微博注册日期,信用,用户粉丝数,用户关注数,用户转赞评数
219,5148253970236889,,5900113526,2025-03-26 01:14:19,绵绵绵绵绵绵小羊,女,[送花花],1,0,,广东,广西,,,否,0,,,,,2016-04-17 13:03:34,较好,49,269,296
220,5148245187364078,,6604885317,2025-03-26 00:39:25,棠生s,女,[爱你],1,0,,浙江,浙江,成分复杂🥰,,否,0,22,处女座,,,2018-07-18 17:07:07,较好,51,130,2948
221,5148240925950670,,7391350519,2025-03-26 00:22:28,散兵的小腿毛,女,@嘉迪61 ,0,0,,广东,广东,散兵散兵嘿嘿嘿,,否,0,,,,,2020-02-13 00:01:16,一般,7,59,8
222,5148232856113042,,7445597238,2025-03-25 23:50:25,爱祎夏夏,男,[吃瓜],0,0,,贵州,贵州,在风暴中成长,超话粉丝钻咖（鞠婧祎超话）,是,0,22,天秤座,贵州师范大学,,2020-04-29 15:21:32,较好,202,253,4092
223,5148196449551377,,7318441717,2025-03-25 21:25:44,浅浅亲亲小熊猫_,女,虽然我没有原石，但是我想要瓦蕾莎，老米我可以对你使用“说服”么？@原神 ,0,0,,河北,河北,infp-t，厨飞霄＆阿蕾奇诺＆伊芙琳＆耀嘉音＆玛薇卡＆希诺宁＆恰斯卡，嗑嘉芙火匠（不逆不拆），雷者自咔,,否,1,,,,,2019-10-12 21:51:21,较好,2107,1035,94127
224,5148177976530350,,5663729208,2025-03-25 20:12:21,袁滑滑,男,#原神# @哎嘿_是阿黎-星铁版 ,0,0,,广东,广东,,,否,0,,,,,2015-07-28 13:59:02,一般,190,643,108
225,5148177390377663,,7930253602,2025-03-25 20:10:01,我一定会回来呃,男,@张咕咕鸭 来呀,0,0,,河南,河南,,,否,0,,,,缓缓飘落的枫叶像思念,2024-07-02 07:30:36,较低,41,29,175
226,5148168297384535,,2762971793,2025-03-25 19:33:52,乔离妹,女,@Asia__L 抽,0,0,,江苏,江苏,私信关了哦～加油让我关注你，就能骂到我了哦～,,否,0,26,巨蟹座,山东交通学院,,2012-05-13 11:56:02,较好,333,756,13775
227,5148146053944294,,6666650103,2025-03-25 18:05:30,长风孤晚,女,好萌的妹宝[哇],1,0,,安徽,安徽,长剑引秋，白云载酒,,否,0,21,天蝎座,,,2018-08-28 20:44:34,较好,89,449,86
228,5148125061712133,,1961367915,2025-03-25 16:42:05,黛桃羊羊,女,我要抽好可爱妈呀[憧憬][憧憬][憧憬],0,0,,广东,广东,是非在己，毁誉由人，得失不论,,否,0,44,双子座,厦门大学,,2011-02-10 19:50:43,较好,336,724,6049
229,5148124856453466,,1961367915,2025-03-25 16:41:16,黛桃羊羊,女,@麻酱为什么那么好吃 好可爱 想抽,0,0,,广东,广东,是非在己，毁誉由人，得失不论,,否,0,44,双子座,厦门大学,,2011-02-10 19:50:43,较好,336,724,6049
230,5148123589771386,,1879898515,2025-03-25 16:36:13,JulyJune123,女,可爱！,0,0,,广东,广东,,,否,1,,,,,2014-03-09 14:21:43,较好,201,383,56
231,5148112139060017,,5272466373,2025-03-25 15:50:44,知行祈祁,男,学点好的吧，取其精华去其糟粕，别做反了，违背了原神的初心。作为一个开服蹲点的玩家。,6,0,,广东,广东,,,否,1,,,,,2014-08-30 12:55:17,一般,11,10,7
232,5148112003795547,,6581830087,2025-03-25 15:50:12,一片枫叶32942,男,[打call][打call],0,0,,广东,广东,,,否,1,,,,,2018-06-23 15:48:22,较好,2,215,0
233,5148111198751041,,5272466373,2025-03-25 15:47:00,知行祈祁,男,什么时候才能完善剧情跳过功能啊，真的有时候不想看剧情；,0,1,,广东,广东,,,否,1,,,,,2014-08-30 12:55:17,一般,11,10,7
234,5148114895505246,5148111198751041,7912793303,2025-03-25 16:01:41,发财致富202403,男,还得等[doge]快死了就会端上来的,1,0,,湖南,湖南,,,否,0,,,,,2024-03-31 17:46:51,较低,2,14,12
235,5148109819084878,,7926176526,2025-03-25 15:41:30,阿瑜的糖炒栗子,女,瓦雷莎好可爱[哇],0,0,,贵州,贵州,祝绪丹唯粉,,否,0,18,金牛座,,,2024-06-12 10:28:48,较低,14,135,457
236,5148109781337012,,7926176526,2025-03-25 15:41:22,阿瑜的糖炒栗子,女,[心],0,0,,贵州,贵州,祝绪丹唯粉,,否,0,18,金牛座,,,2024-06-12 10:28:48,较低,14,135,457
237,5148105067991238,,7371993495,2025-03-25 15:22:38,藏色山河,女,勇敢牛牛,0,0,,江西,江西,曾经沧海难为水，除却巫山不是云,,否,0,,,,,2020-01-13 23:41:59,较好,2,176,62
238,5148100336550057,,6460564606,2025-03-25 15:03:49,urstop,男,原神会倾听玩家的意见吗[doge],0,0,,广东,广东,,,否,0,,,,,2018-01-27 19:59:33,较低,9,7,0
239,5148086042624483,,7937553463,2025-03-25 14:07:01,楚皖冰,女,@不愿忘记886,0,0,,浙江,浙江,,,否,0,,,,,2024-08-02 15:16:20,较低,33,51,21
240,5148085986791316,,7937553463,2025-03-25 14:06:49,楚皖冰,女,[微笑],0,0,,浙江,浙江,,,否,0,,,,,2024-08-02 15:16:20,较低,33,51,21
241,5148082661756983,,2705844943,2025-03-25 13:53:36,苏音嘤嘤嘤,女,@九条金刚可怜 [哇],0,0,,辽宁,辽宁,吸猫、抽奖、游戏网瘾少女的日常,,否,0,26,天蝎座,沈阳师范大学,,2012-04-11 22:29:00,较好,177,269,683
242,5148082217681042,,7965973478,2025-03-25 13:51:49,Kittylilg,女,@原神 ,0,0,,福建,福建,,,否,0,,,,,2024-12-01 23:35:28,较低,2,42,6
243,5148079654174890,,7989023266,2025-03-25 13:41:38,原神魈宝带肝,男,需要代肝吗？,0,0,,安徽,安徽,原神代肝，有意者vx13485947064，价格公道，可接日常，鱼叉，地图满探索，神瞳，水管，全任务。,,否,0,23,白羊座,,,2025-03-24 16:02:44,较低,8,9,0
244,5148077309039420,,1856774002,2025-03-25 13:32:20,真李子王,男,[送花花]中中中@胡纪蛟44256,0,0,,湖北,湖北,,,否,0,,,,,2011-09-05 21:11:55,较好,3,39,599
245,5148064874237842,,5449280694,2025-03-25 12:42:55,归寂庭院,女,@崩坏星穹铁道 ,0,0,,河南,河南,这泼天的富贵什么时候轮到我。黑一老师全肯定bot,,否,1,20,天蝎座,,,2014-12-26 14:47:57,较好,8,95,87
246,5148059421640020,,7575460235,2025-03-25 12:21:15,懵了懵圈,女,@绾绾青丝--一 [爱慕],0,0,,山东,山东,,,否,1,97,射手座,,,2021-03-12 17:33:41,极好,112,677,2838
247,5148056200155980,,7307518570,2025-03-25 12:08:27,Minji眼里的猫咪,女,@绝区零 来玩啊,0,0,,辽宁,辽宁,,,否,0,24,巨蟹座,,,2019-09-18 23:42:57,较好,2,108,10
248,5148049635543503,,1833255331,2025-03-25 11:42:22,LISHENYUAN-5,男,华为手机玩不了。,0,0,,广东,广东,,,否,0,,,,,2010-10-18 22:52:18,较好,576,71,4478
249,5148043695885306,,7957545977,2025-03-25 11:18:46,遥遥相思寄东风,女,@用户7915326373 ,0,0,,安徽,安徽,发布的作品除了标出来是我画的之外，都是我不知道画师但是太好看了分享出来的，有知道作者的可以告诉博主一下！感谢,,否,0,20,白羊座,,,2024-10-21 08:47:36,较低,8,212,1106
250,5148043604656403,,7957545977,2025-03-25 11:18:23,遥遥相思寄东风,女,@用户7915326373 吴邪,0,0,,安徽,安徽,发布的作品除了标出来是我画的之外，都是我不知道画师但是太好看了分享出来的，有知道作者的可以告诉博主一下！感谢,,否,0,20,白羊座,,,2024-10-21 08:47:36,较低,8,212,1106
251,5148015829453282,,7669365024,2025-03-25 09:28:02,用户7669365024,女,@原神,0,0,,山西,山西,,,否,0,,,,,2021-08-14 13:13:37,较低,1,29,0
252,5148006412454152,,7167228377,2025-03-25 08:50:37,抹茶少年2002,男,什么时候可以加入鸿蒙netx[泪],0,0,,安徽,安徽,勤奋的我，已经无法自拔,,否,0,26,处女座,,,2019-05-29 14:52:45,一般,9,21,2
253,5148005910708983,,7822090130,2025-03-25 08:48:36,幻灭晨光,男,1,0,0,,山东,山东,,,否,0,,,,,2023-02-18 00:08:08,一般,2,13,48
254,5147897360811185,,7305256359,2025-03-25 01:37:17,茗好蛙蛙蛙,女,@水颂歌 抽中我我就回游,0,0,,广东,广东,魈厨大喜  svt徐明浩🔝 团偏2358 克拉💎,,否,1,19,金牛座,,,2019-09-13 17:32:10,较好,155,397,7588
255,5147884724421697,,6098142390,2025-03-25 00:47:03,猪猪炀cy,男,@欧阳羊- ,0,0,,重庆,重庆,,,否,0,25,白羊座,,,2017-01-01 09:43:58,较好,96,446,406
256,5147883189045369,,7945248661,2025-03-25 00:40:58,用户7945248661,男,@原神,0,0,,江西,江西,,,否,0,,,,,2024-08-27 01:45:30,较低,9,9,1
257,5147868839807985,,5447815348,2025-03-24 23:43:57,祁连山上白雪纷飞,女,@惠风茂青柳,0,0,,湖南,湖南,,,否,1,27,水瓶座,,,2014-12-27 21:08:45,较好,8,787,518
258,5147865723702855,,7596768862,2025-03-24 23:31:34,原神纯手,男,需要代肝吗，纯手工可全程直播噢，首单有赠品，缺原石可以下单托管原石多多噢[玫瑰],0,0,,广西,广西,,,否,0,21,巨蟹座,,,2021-04-22 13:07:19,较低,6,27,0
259,5147865445831951,,7596768862,2025-03-24 23:30:28,原神纯手,男,需代+,0,0,,广西,广西,,,否,0,21,巨蟹座,,,2021-04-22 13:07:19,较低,6,27,0
260,5147861034209103,,5694110930,2025-03-24 23:12:56,An_玖柒,男,鸿蒙版原神什么时候上线,2,0,,山西,山西,,,否,1,,,,,2015-09-04 22:41:19,较好,8,157,0
261,5147842080145841,,7408243967,2025-03-24 21:57:36,男厕女厕儿童厕,女,好耶,0,0,,湖南,湖南,都tm是群剑÷玩意儿，就你们这两个群体天天犬吠，搞得tm人心惶惶，那祝zng有cmg的笔透，cmg有zng的吊扭，zng和cmg99锁死捏,,否,0,,,,,2020-03-08 21:09:54,较好,1,20,46
262,5147827588305309,,6490083025,2025-03-24 21:00:02,易箓,女,d,0,0,,江苏,江苏,哒哒哒,,否,0,23,双鱼座,三河口中学,,2018-02-18 17:41:41,较好,67,473,1161
263,5147818877259229,,6317193451,2025-03-24 20:25:25,三月七小可爱,女,@笨蛋老婆贴贴,0,0,,浙江,浙江,只要一直这样可爱欢乐下去就是最好的啦,,否,0,18,双鱼座,,,2017-07-14 02:57:45,一般,13,91,142
264,5147810308295398,,7684917577,2025-03-24 19:51:22,谜之Rider,女,勇敢牛牛，不怕困难！,0,0,,陕西,陕西,,,否,0,,,,,2021-08-28 17:58:24,较低,1,37,0
265,5147808391758884,,7675918382,2025-03-24 19:43:44,一瓶牛奶咖啡,女,@仕势世是适,0,0,,天津,天津,,,否,0,34,天秤座,,,2021-08-19 15:48:38,较好,8,161,5
266,5147786706423089,,7767815386,2025-03-24 18:17:35,_A1111_,女,@原神 ,0,0,,上海,上海,,,否,0,16,巨蟹座,,,2022-06-29 12:31:01,一般,7,789,0
267,5147769301373818,,5587868234,2025-03-24 17:08:25,V云中圣贤V,男,@原神 ,0,0,,辽宁,辽宁,,,否,0,29,射手座,,,2015-04-15 16:21:06,较好,217,751,5
268,5147737705152914,,5874128635,2025-03-24 15:02:51,黑芝麻流心汤圆,女,可爱捏,0,0,,甘肃,甘肃,我与iivv不共戴天,,否,0,24,天蝎座,,,2016-03-05 22:08:04,较好,1587,707,30579
269,5147724136580727,,6852972801,2025-03-24 14:08:57,nightne09,男,@玫瑰荔枝气泡水Angel,0,0,,北京,北京,,,否,0,,,,,2018-11-15 15:31:44,较好,41,314,27
270,5147713280674089,,5514247039,2025-03-24 13:25:49,Z鹿呐晴呀茶蛋昂喵DAYTOY,女,可爱捏@薰焰wlt ,0,0,,湖北,湖北,爱丽曾经十二♡是战战的小肥虾♡可爱洛妈♡随机抽选墙头吐槽♡好孩子一定要大发！,,否,0,27,狮子座,,,2015-02-08 11:57:26,极好,262,440,10638
271,5147703633773915,,2001469381,2025-03-24 12:47:29,爱书贤,男,@原神赛事,0,0,,山东,山东,,,否,0,36,处女座,,,2011-03-02 05:07:50,较好,512,4322,348
272,5147683309491668,,5706599669,2025-03-24 11:26:43,死腻味截线爱好者,男,2,0,0,,天津,天津,不好的评论我会lh哦,,否,0,,,,,2015-09-19 12:46:56,较好,83,1430,677
273,5147679789419998,,6452418237,2025-03-24 11:12:44,megumi1i,男,1,0,0,,辽宁,辽宁,,,否,0,,,,,2018-01-15 20:07:17,较好,24,117,0
274,5147675692632412,,5626073860,2025-03-24 10:56:27,星空闪耀只为你,女,@胖君君jun [爱慕][爱慕][爱慕],0,0,,广东,广东,爱杰不解释(ง •̀_•́)ง,,否,0,24,双子座,,,2015-06-07 11:55:53,较好,91,891,450
275,5147669644973111,,7188619461,2025-03-24 10:32:25,a圈圈源,女,@三七-33337 ,0,0,,湖南,湖南,“路过山水千程，祝和自己温柔重逢”,,否,1,23,射手座,,,2019-06-10 20:36:42,较好,167,236,305
276,5147659711285491,,7749097389,2025-03-24 09:52:57,谁说我们不能等,男,开门[doge],0,0,,四川,四川,当火红的太阳在东方升起，世界便不需要灯塔！,超话创作官（rng超话）,是,0,,,,,2022-03-24 19:38:22,较好,201,135,1698
277,5147609599050423,,7924511036,2025-03-24 06:33:49,零63785,男,@原神 ,0,0,,广东,广东,,,否,1,,,,,2024-06-03 19:48:32,一般,1,458,344
278,5147606910240151,,1235875477,2025-03-24 06:23:08,赛博老猫的电子榨菜,女,@是梦枕鱼 整,0,0,,云南,云南,愿原力与你同在,,否,1,17,摩羯座,,,2010-05-01 00:18:41,极好,11834,208,1502
279,5147520359466998,,1784486684,2025-03-24 00:39:13,Ygumonw,女,[doge]@EG-Pangya岛上的辛八,0,0,,上海,江苏,我爱飘流幻境,,否,0,,,,,2010-08-02 13:58:31,极好,328,1433,3093
280,5147504303936313,,6781308615,2025-03-23 23:35:25,望跃其进,男,充600+都不一定能中up角色，这吃相怎么这样？,0,0,,四川,四川,,,否,0,,,,,2020-05-30 08:42:17,较好,5,49,0
281,5147491511830305,,7782935232,2025-03-23 22:44:35,童颜巨石,男,特别难玩，对新手不好上手人物升级非常困难，强烈要求永久停服[微笑],0,0,,新疆,新疆,你是暖阳，可我未必喜欢晴天。,,否,1,35,射手座,,新疆华为技术有限公司,2022-08-17 13:09:26,较好,28,492,41
282,5147484264337357,,6991265333,2025-03-23 22:15:47,小白白ee,男,@江随兴 求锦鲤,0,0,,浙江,浙江,,,否,0,21,水瓶座,,,2019-02-11 18:26:06,较好,49,220,38
283,5147422155866879,,7408243967,2025-03-23 18:08:58,男厕女厕儿童厕,女,好耶,0,0,,湖南,湖南,都tm是群剑÷玩意儿，就你们这两个群体天天犬吠，搞得tm人心惶惶，那祝zng有cmg的笔透，cmg有zng的吊扭，zng和cmg99锁死捏,,否,0,,,,,2020-03-08 21:09:54,较好,1,20,46
284,5147405092916811,,5525317817,2025-03-23 17:01:11,某宝-绅士限定,男,[举手]@某宝-绅士限定,0,0,,云南,云南,馒头探险家,,否,1,29,狮子座,,馒头研究院,2015-02-18 17:51:11,极好,10035,166,136
285,5147402940714787,,6498137930,2025-03-23 16:52:38,卡布鲁周,女,流浪者复刻吗？,0,0,,河南,河南,,,否,0,,,,,2018-03-02 14:20:23,一般,1,16,3
286,5147379779502409,,7615076451,2025-03-23 15:20:35,叠纸抽我吧,男,@祁煜我爱你哇 [送花花][送花花],0,0,,广东,广东,,,否,1,,,,,2021-05-25 16:49:49,较好,130,719,1873
287,5147379440812836,,7615076451,2025-03-23 15:19:14,叠纸抽我吧,男,求中[送花花],0,0,,广东,广东,,,否,1,,,,,2021-05-25 16:49:49,较好,130,719,1873
288,5147374016268953,,6319702823,2025-03-23 14:57:42,不知名快餐店,女,@原神 ,0,0,,山东,山东,好想取消漫画休刊……,,否,1,20,水瓶座,,,2017-08-06 15:19:53,一般,10,305,222
289,5147361760773842,,5225965217,2025-03-23 14:09:00,芝士烤木鱼子,女,[送花花],0,0,,甘肃,甘肃,生活将我反复捶打 肉质竟变得筋道Q弹～ᵔ⤙ᵔ,,否,1,,,,,2014-07-21 21:13:35,较好,73,649,496
290,5147356619604762,,7832157950,2025-03-23 13:48:33,布里格拉,男,勇敢牛牛[doge],0,0,,上海,上海,,,否,0,21,狮子座,,,2023-04-11 10:43:00,一般,2,98,11
291,5147352378640792,,5843873251,2025-03-23 13:31:43,用户5843873251,男,@羁鸟不离 ,0,0,,河北,河北,,,否,0,,,,,2016-01-29 16:44:38,较低,16,53,0
292,5147347316116589,,7721491849,2025-03-23 13:11:36,三千两百星琼,女,@青鸟信云外,0,0,,广西,广西,,,否,0,,,,,2021-11-16 20:22:29,较低,11,232,90
293,5147342525959334,,7826459830,2025-03-23 12:52:34,kiku-kiku碎碎冰,女,@原神,0,0,,安徽,安徽,三次毒唯鞠婧祎（互关私信哈） 看点小说动漫  玩点游戏,超话粉丝钻咖（鞠婧祎超话）,是,1,18,双子座,安徽大学,橘事顺利,2023-03-11 21:48:20,较好,34,144,7110
294,5147327819943492,,7973356994,2025-03-23 11:54:08,不喝酒的姐,女,@原神,0,0,,湖南,湖南,,,否,0,9,摩羯座,,,2025-01-05 16:26:50,较低,222,154,7
295,5147325933027779,,6597096437,2025-03-23 11:46:37,知更鸟扣爆星期日,女,宝宝[可怜][可怜][可怜],0,0,,广西,广西,微博已退，双取随意|转发不代表我属性,,否,0,29,双鱼座,,,2018-07-10 12:02:51,较好,182,272,2607
296,5147300481990778,,7945248661,2025-03-23 10:05:29,用户7945248661,男,@原神,0,0,,江西,江西,,,否,0,,,,,2024-08-27 01:45:30,较低,8,9,1
297,5147293082716014,,6063172184,2025-03-23 09:36:05,神里绫华的鼠,男,@四叶草上的千纸鹤20130806 ,0,0,,福建,福建,,,否,0,16,处女座,,,2016-11-03 22:56:31,一般,7,20,122
298,5147291314557341,,7965997692,2025-03-23 09:29:04,吖晓鱼吖,男,保佑不歪[泪],1,0,,安徽,安徽,,,否,0,,,,,2024-11-29 20:53:10,较低,3,6,1
299,5147290969310242,,7874225582,2025-03-23 09:27:42,查4瑞和光,女,谁说这瓦雷莎不好了？这瓦雷莎可太棒了[微笑],0,0,,河南,河南,咪咪,,否,0,1,处女座,,,2023-09-30 11:53:05,较低,13,395,22
300,5147289523328037,,7783052081,2025-03-23 09:21:57,琼源听玉,女,好耶，是萌萌瓦雷莎,0,0,,湖南,湖南,,,否,0,15,天秤座,,,2022-08-19 16:28:07,较低,1,54,0
301,5147274778772913,,2751040873,2025-03-23 08:23:22,血海翊,男,勇敢牛牛，不怕困难,0,0,,重庆,重庆,,,否,0,32,处女座,,,2012-06-10 21:01:43,较好,49,85,74
302,5147271231966527,,7931464568,2025-03-23 08:09:16,江天暮雪2222,男,@死亡遗迹11832,0,0,,浙江,浙江,,,否,0,,,,,2024-07-04 14:38:29,较低,197,950,204
303,5147268013622494,,7384896451,2025-03-23 07:56:29,死亡遗迹11832,男,@江天暮雪2222,0,0,,浙江,浙江,,,否,0,,,,,2020-02-02 20:33:50,一般,297,1297,257
304,5147241015673274,,2134915060,2025-03-23 06:09:11,东莞淫魔,男,[good],0,0,,广东,广东,,,否,0,38,巨蟹座,,,2011-06-20 02:00:03,一般,24,46,133
305,5147233104953789,,7734505399,2025-03-23 05:37:46,辉幸运hxy,男,快来快来！@乖巧_萌小妞,0,0,,河北,河北,,,否,0,,,,,2022-01-20 06:33:56,较好,3,55,0
306,5147176930116941,,7411950883,2025-03-23 01:54:33,昵称是翼安,女,哇塞哇塞@我推羊仔 ,0,0,,河南,河南,无趣的灵魂和丑陋的皮囊,,否,0,20,水瓶座,,,2020-03-13 07:44:36,较好,20,182,288
307,5147152594504891,,7792141649,2025-03-23 00:17:51,急冻双新,男,@zhanghk20768 ,0,0,,河南,河南,,,否,0,,,商丘师范学院,,2022-09-22 17:27:28,一般,5,73,34
308,5147097898418589,,7603767472,2025-03-22 20:40:29,六月肆無_,女,来和我一起玩原神吧！@黑加仑屿霖_ ,0,0,,安徽,安徽,贺峻霖二代唯一all绿！！！,,否,0,,,,,2021-05-03 09:04:31,较好,1233,190,2694
309,5147090019686469,,6528365989,2025-03-22 20:09:12,周二复十,女,#原神[超话]##原神# #瓦雷莎# #原神瓦雷莎# ,0,0,,上海,上海,蘑菇,,否,0,,,,,2018-04-15 23:10:35,较好,1,99,58
310,5147089978525376,,6528365989,2025-03-22 20:09:02,周二复十,女,加油[打call][打call],0,0,,上海,上海,蘑菇,,否,0,,,,,2018-04-15 23:10:35,较好,1,99,58
311,5147086522685222,,7902953738,2025-03-22 19:55:18,樱赤-青月湖,女,好可爱[打call],1,0,,河南,河南,,,否,0,20,摩羯座,,,2024-02-12 12:22:48,较低,1,77,0
312,5147078012174651,,7395020927,2025-03-22 19:21:28,-丹溪-,女,确实挺萌的唉对不起。,0,0,,上海,上海,人的内心不种鲜花就会长满杂草,,否,0,,,,,2020-02-18 14:55:02,较好,959,918,14893
313,5147066695942405,,7603803716,2025-03-22 18:36:30,不负这红尘,男,@从梦止盛夏 太好了,0,0,,广东,广东,只为寻求意义，关于生命,,否,0,21,射手座,,,2021-05-03 19:39:03,较好,11,159,393
314,5147065983439744,,7801635360,2025-03-22 18:33:41,水牢先锋,男,复刻八重神子！[泪],0,0,,山东,山东,,,否,0,,,,,2022-11-15 21:05:45,一般,1,99,491
315,5147064901043185,,7972502332,2025-03-22 18:29:22,钟离先生115,女,这在打瓦的里面是妈妈级别的,0,0,,江苏,江苏,,,否,0,14,处女座,,,2024-12-31 23:35:03,较低,52,71,1
316,5147063018329280,,7719113330,2025-03-22 18:21:54,枫白pp,女,太可爱了吧,1,0,,广西,广西,小云哦哦哦,,否,0,,,,,2021-10-31 14:23:19,较好,13,139,347
317,5147060735312719,,7851600226,2025-03-22 18:12:49,Yukimi_ana,女,新版本原神星铁托管已开启✨精托180/月，全托280/月350/版本全托✨每日返图，大活动40-50，小活动10深渊20/期✨超级认真全能代代，原铁双坑满级全勤[珊瑚宫心海]支持验证码/扫码/帐密✨可全程b直播，高质量高效率✅信誉图2k+http://t.cn/A6jDSzu3，四年千单无差评[送花花]祝板宝运气爆棚，生活愉快！,0,0,,四川,四川,你好呀，这里超级认真的代代，可全程直播，消息看到都会回哒(´▽｀)联系方式wx 13636509652（镇魂,,否,1,24,摩羯座,,,2023-07-17 16:54:59,一般,229,1077,118
318,5147044008169427,,5375157859,2025-03-22 17:06:22,吞天吴佳,男,感觉比克罗领的厉害一些@娱乐圈二把刀 ,0,0,,广东,广东,佳佳,,否,0,30,天秤座,,,2014-11-17 12:33:54,较好,13,50,24
319,5147043387934601,,6310438388,2025-03-22 17:03:53,眷故然_,女,转发微博,0,0,,广东,广东,镇魂| 访问无恶意 | 困困然,科技博主,是,1,,,,,2017-07-16 17:58:30,较好,697,1485,19289
320,5147025546675398,,7030471249,2025-03-22 15:52:59,小蜻蜓冲啊,男,热评还是一如既往的招笑，还在有原偷玩啊[泪],0,0,,四川,四川,,,否,0,25,处女座,,,2019-03-12 08:56:16,较好,16,291,18
321,5147025118855245,,5969240746,2025-03-22 15:51:17,SWEETY草莓酱_,女,@蕾酱不吃饭x ,0,0,,广西,广西,漂亮的皮囊千篇一律，有趣的灵魂万里挑一,,否,0,,,电子科技大学,,2016-07-01 09:33:06,较好,135,167,2622
322,5147012295299822,,7922977144,2025-03-22 15:00:21,莳苡sy,女,@神秘道友同路人 [羞嗒嗒],0,0,,河南,河南,浅予深深，长乐未央,,否,0,15,射手座,,,2024-05-25 10:23:42,较低,32,143,10
323,5147009125450849,,7871016301,2025-03-22 14:47:45,FF-SweetGabriel,女,[哇][哇][哇][哇][哇],0,0,,上海,上海,,,否,0,,,,,2023-09-17 13:17:37,一般,9,88,152
324,5146993819127602,,7922977144,2025-03-22 13:46:56,莳苡sy,女,[爱你],0,0,,河南,河南,浅予深深，长乐未央,,否,0,15,射手座,,,2024-05-25 10:23:42,较低,32,143,10
325,5146978523809608,,6441576068,2025-03-22 12:46:09,喵咪plus,女,@喵咪pro ,0,0,,湖南,湖南,无情的转发机器,,否,0,23,白羊座,,,2017-12-23 00:34:43,较好,30,2787,3276
326,5146968393258795,,6380145269,2025-03-22 12:05:54,夜白shu,女,甘露寺蜜璃,1,0,,河南,河南,喜欢十二夜梦,,否,1,,,郑州轻工业大学,,2017-10-03 15:43:34,较好,16,148,999
327,5146966192557480,,2290877130,2025-03-22 11:57:09,二十四雀,男,路过看数据，真的越来越凉红黑俱灭啊哈哈哈，好事好事[good]一想到策划因为转去媚男，流水暴跌📉跌了后想靠麻辣狂媚zng赚钱，结果越媚越跑人，流水更加跌，就在那里尖叫抓挠啊啊啊都脱光了都爱你了都全女了你们为什么不抽就好想笑哈哈哈[偷笑]继续当赛博锁妖塔吧,15,3,,广东,广东,溅起的泥点是我的高傲。,,否,0,,,,,2011-08-06 16:54:51,较好,70,410,991
328,5147295297572974,5146966192557480,6432406382,2025-03-23 09:44:54,6432406382_917,女,既要又要导致的[允悲],0,0,铁粉1,广东,广东,,,否,0,,,,,2017-12-19 09:32:46,一般,2,98,4
329,5146964804766636,,7776299250,2025-03-22 11:51:38,娇气型,女,是人我吃。,2,0,,河北,湖南,只有一个沈 春秋如同你我,游戏博主,是,1,,,,,2022-07-27 12:35:15,较好,10514,626,1777
330,5146964603176909,,7445597238,2025-03-22 11:50:50,爱祎夏夏,男,[吃瓜],0,0,,贵州,贵州,在风暴中成长,超话粉丝钻咖（鞠婧祎超话）,是,0,22,天秤座,贵州师范大学,,2020-04-29 15:21:32,较好,202,253,4092
331,5146961510665246,,5447815348,2025-03-22 11:38:33,祁连山上白雪纷飞,女,@天涯明月刀手游,0,0,,湖南,湖南,,,否,1,27,水瓶座,,,2014-12-27 21:08:45,较好,8,787,518
332,5146954372220585,,6765078048,2025-03-22 11:10:11,芒天帝,女,看到依法叫哥们我就放心了，男角色是兄弟，女角色是老婆,1,0,,湖北,湖北,,,否,0,,,,,2018-10-13 21:30:10,较好,494,5349,515
333,5146950656592956,,7669365024,2025-03-22 10:55:25,用户7669365024,女,@原神,0,0,,山西,山西,,,否,0,,,,,2021-08-14 13:13:37,较低,1,29,0
334,5146941970188812,,7715934549,2025-03-22 10:20:54,加大刻晴,男,@-乘风破浪z,0,0,,福建,福建,优雅与迅捷，缺一不可！,,否,0,3,天蝎座,,,2021-10-19 18:44:06,较低,19,30,1
335,5146936979490919,,6520104499,2025-03-22 10:01:04,摇橹慢桨捉fish,女,原神的分镜真的强,0,0,,上海,上海,,,否,0,5,处女座,,,2018-04-04 18:54:27,较好,63,1084,47
336,5146901532377962,,6209384118,2025-03-22 07:40:13,依恋暖光,女,来欧斯利这么弱，你让人怎么玩[怒],0,0,,加拿大,加拿大,,,否,0,,,,,2017-04-22 09:53:21,较好,1,114,3
337,5146864099263117,,5165309996,2025-03-22 05:11:28,用户5165309996,男,[doge],0,0,,河北,河北,,,否,0,,,,,2014-11-10 18:59:29,较好,18,684,402
338,5146863657812588,,7739272899,2025-03-22 05:09:43,那个x不可以哦,男,@dllnsq,0,0,,美国,美国,,,否,0,23,水瓶座,,,2022-02-02 20:07:27,一般,17,217,5
339,5146839935877360,,5494860834,2025-03-22 03:35:27,宅居一品,女,明早一起床就卸载，祝早似,5,0,,山东,山东,复杂的感情是人类的优点，贴标签是自我降级的行为，请不要对我这样做,,否,0,22,金牛座,,,2015-03-01 19:19:30,较好,3258,1327,111142
340,5146837292679269,,7735270595,2025-03-22 03:24:56,阿咩的魔鱼爽,女,这逆天设计唐完了好吗[允悲],12,0,,陕西,陕西,知道我微博很美～爱看多看,,否,1,,,,,2022-01-09 14:11:16,较好,43,196,1414
